Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
021cedd9-5ce9-49a6-bbed-caace99d3b62,"2020-06-19, 11:21:45 AM",devops,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-03a03b9b2e36ccf7f""}]",,us-east-1,,49.207.200.130
aa174cd6-94bb-42a7-81a3-3fdffb8f199b,"2020-06-19, 11:21:45 AM",devops,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0d25ee9db327aba1f""}]",,us-east-1,,49.207.200.130
70acb6e3-da83-4e98-be49-3876263c8e7f,"2020-06-19, 11:00:18 AM",devops,MonitorInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-03a03b9b2e36ccf7f""}]",,us-east-1,,49.207.200.130
c63f4910-bb5f-4785-a9ba-e8670d546bbe,"2020-06-19, 11:00:07 AM",devops,MonitorInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0d25ee9db327aba1f""}]",,us-east-1,,49.207.200.130
32ea343b-9ce6-4571-893b-18cc0cdd7f6a,"2020-06-19, 10:59:46 AM",,SharedSnapshotVolumeCreated,,,,us-east-1,,ec2.amazonaws.com
d63937ce-0840-4c5b-a6c7-201e27d70f5c,"2020-06-19, 10:59:46 AM",,SharedSnapshotVolumeCreated,,,,us-east-1,,ec2.amazonaws.com
6cbc7fa6-1fd6-4c73-8c78-9bff5e0b03b5,"2020-06-19, 10:59:43 AM",devops,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0e1ef224072dfe54e""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-052ab2eae54e3c05a""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-03a03b9b2e36ccf7f""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Database""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0f7c99a36a9020d85""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-038b6599cc5cb58e8""}]",,us-east-1,,49.207.200.130
f493309d-0e83-44b4-b40c-fe9af81531e1,"2020-06-19, 10:59:43 AM",devops,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0e1ef224072dfe54e""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-09a27671ef15e8578""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0d25ee9db327aba1f""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Database""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0f7c99a36a9020d85""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-038b6599cc5cb58e8""}]",,us-east-1,,49.207.200.130
b277fc25-dc2c-492d-a0f6-d2af5e33aa8f,"2020-06-19, 10:56:40 AM",devops,RunInstances,EC2 Ami and 2 more,"[{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-038b6599cc5cb58e8""}]",,us-east-1,Client.InvalidGroup.NotFound,49.207.200.130
fddd3120-2848-4d1c-99dd-53824f5b9a36,"2020-06-19, 10:56:40 AM",devops,RunInstances,EC2 Ami and 2 more,"[{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-038b6599cc5cb58e8""}]",,us-east-1,Client.InvalidGroup.NotFound,49.207.200.130
5023c947-76b2-4af0-96db-2a7d0b42b1e2,"2020-06-19, 09:17:04 AM",root,ConsoleLogin,,,,us-east-1,,49.207.200.130
6e85f3cc-33b2-4525-8e67-e04d7b844509,"2020-06-19, 08:16:12 AM",configLambdaExecution,BatchGetResourceConfig,,,,us-east-1,,config.amazonaws.com
ecea1bd7-af55-45be-a4ed-3c94d432328b,"2020-06-19, 08:14:07 AM",configLambdaExecution,BatchGetResourceConfig,,,,us-east-1,,config.amazonaws.com
1c47ef80-ae7d-452d-9141-9e3816e136fa,"2020-06-19, 08:13:28 AM",configLambdaExecution,PutEvaluations,,,,us-east-1,,config.amazonaws.com
d7fd530f-3604-484f-97f8-433f284f7d0f,"2020-06-19, 08:13:08 AM",configLambdaExecution,PutEvaluations,,,,us-east-1,,config.amazonaws.com
88eec61c-e66f-451f-b778-04e7110740c2,"2020-06-19, 08:13:00 AM",configLambdaExecution,PutEvaluations,,,,us-east-1,,config.amazonaws.com
1dd1d8b0-d0c4-4150-9635-4acce42ca706,"2020-06-19, 08:12:59 AM",configLambdaExecution,PutEvaluations,,,,us-east-1,,config.amazonaws.com
3bb3dd26-4381-492c-8697-efd349952d62,"2020-06-19, 08:12:59 AM",configLambdaExecution,PutEvaluations,,,,us-east-1,,config.amazonaws.com
521e3594-4786-4cb2-a098-ade3255654c9,"2020-06-19, 08:12:59 AM",configLambdaExecution,PutEvaluations,,,,us-east-1,,config.amazonaws.com
9efd908b-d105-4837-9915-c0790125ae80,"2020-06-19, 08:12:59 AM",configLambdaExecution,PutEvaluations,,,,us-east-1,,config.amazonaws.com
bf59c360-2f4a-4fb9-bd0a-28c809b41770,"2020-06-19, 08:12:59 AM",configLambdaExecution,PutEvaluations,,,,us-east-1,,config.amazonaws.com
